CATALOG_ID|CATALOG_CID|CATALOG_NAME|CATGROUP_ID_PATH|CATGROUP_CID_PATH|CATGROUP_NAME_PATH|CATGROUP_ID_CHILD|CATGROUP_CID_CHILD|CATGROUP_NAME_CHILD|CATGROUP_ID_PARENT|CATGROUP_CID_PARENT|CATGROUP_NAME_PARENT|CATGROUP_ID_TOP|CATGROUP_CID_TOP|CATGROUP_NAME_TOP|LEVEL
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013333/1013451|/12/206/1843|/Food & Grocery/Beverages/Wine & Champagnes|1013451|1843|Wine & Champagnes|1013333|206|Beverages|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013453|/12/217/1982|/Food & Grocery/General Grocery/Marinades & Sauces|1013453|1982|Marinades & Sauces|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013416/1013501|/12/220/2021|/Food & Grocery/Gum & Candy/Gum & Mints|1013501|2021|Gum & Mints|1013416|220|Gum & Candy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1012998/1013133/1013511|/8/144/1392|/Computers & Electronics/Portable Electronics/Boom Boxes|1013511|1392|Boom Boxes|1013133|144|Portable Electronics|1012998|8|Computers & Electronics|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013187/1013512|/22/351/3110|/Tools/Bench & Stationary Power Tools/Sanders|1013512|3110|Sanders|1013187|351|Bench & Stationary Power Tools|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013017/1013088/1013516|/2/58/687|/Automotive/Services/Brakes|1013516|687|Brakes|1013088|58|Services|1013017|2|Automotive|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013415/1013524|/12/218/2004|/Food & Grocery/Gift Sets/Candy|1013524|2004|Candy|1013415|218|Gift Sets|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013329/1013526|/12/228/2112|/Food & Grocery/Seafood/Other Seafood|1013526|2112|Other Seafood|1013329|228|Seafood|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013426/1013470|/22/353/3135|/Tools/Garage Door Openers/Gate Openers & Accessories|1013470|3135|Gate Openers & Accessories|1013426|353|Garage Door Openers|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013312/1013471|/15/270/2372|/Home Services/Appliances/Range Hoods|1013471|2372|Range Hoods|1013312|270|Appliances|1013002|15|Home Services|3
